Team,Quarterback,College,Year drafted (pick),Beginning of  starting streak,Ref.
Arizona Cardinals (list),Joshua Dobbs,Tennessee,2017 (135),"Week 1, 2023",
Atlanta Falcons (list),Desmond Ridder,Cincinnati,2022 (74),"Week 15, 2022",
Baltimore Ravens (list),Lamar Jackson,Louisville,2018 (32),"Week 1, 2023",
Buffalo Bills (list),Josh Allen,Wyoming,2018 (7),"Week 12, 2018",
Carolina Panthers (list),Bryce Young,Alabama,2023 (1),"Week 4, 2023",
Chicago Bears (list),Justin Fields,Ohio State,2021 (11),"Week 1, 2023",
Cincinnati Bengals (list),Joe Burrow,LSU,2020 (1),"Week 1, 2022",
Cleveland Browns (list),Dorian Thompson-Robinson,UCLA,2023 (140),"Week 4, 2023",
Dallas Cowboys (list),Dak Prescott,Mississippi State,2016 (135),"Week 7, 2022",
Denver Broncos (list),Russell Wilson,Wisconsin,2012 (75),"Week 16, 2022",
Detroit Lions (list),Jared Goff,California,2016 (1),"Week 18, 2021",
Green Bay Packers (list),Jordan Love,Utah State,2020 (26),"Week 1, 2023",
Houston Texans (list),C. J. Stroud,Ohio State,2023 (2),"Week 1, 2023",
Indianapolis Colts (list),Anthony Richardson,Florida,2023 (4),"Week 4, 2023",
Jacksonville Jaguars (list),Trevor Lawrence,Clemson,2021 (1),"Week 1, 2021",
Kansas City Chiefs (list),Patrick Mahomes,Texas Tech,2017 (10),"Week 1, 2021",
Las Vegas Raiders (list),Aidan O'Connell,Purdue,2023 (135),"Week 4, 2023",
Los Angeles Chargers (list),Justin Herbert,Oregon,2020 (6),"Week 2, 2020",[6]
Los Angeles Rams (list),Matthew Stafford,Georgia,2009 (1),"Week 1, 2023",
Miami Dolphins (list),Tua Tagovailoa,Alabama,2020 (5),"Week 1, 2023",
Minnesota Vikings (list),Kirk Cousins,Michigan State,2012 (102),"Week 18, 2021",
New England Patriots (list),Mac Jones,Alabama,2021 (15),"Week 7, 2022",
New Orleans Saints (list),Derek Carr,Fresno State,2014 (36),"Week 1, 2023",
New York Giants (list),Daniel Jones,Duke,2019 (6),"Week 1, 2023",
New York Jets (list),Zach Wilson,BYU,2021 (2),"Week 2, 2023",
Philadelphia Eagles (list),Jalen Hurts,Oklahoma,2020 (53),"Week 18, 2022",
Pittsburgh Steelers (list),Kenny Pickett,Pittsburgh,2022 (20),"Week 16, 2022",
San Francisco 49ers (list),Brock Purdy,Iowa State,2022 (262),"Week 14, 2022",
Seattle Seahawks (list),Geno Smith,West Virginia,2013 (39),"Week 1, 2022",
Tampa Bay Buccaneers (list),Baker Mayfield,Oklahoma,2018 (1),"Week 1, 2023",
Tennessee Titans (list),Ryan Tannehill,Texas A&M,2012 (8),"Week 1, 2023",
Washington Commanders (list),Sam Howell,North Carolina,2022 (144),"Week 18, 2022",
